# (c) Der Bundeswahlleiter, Statistische Ämter des Bundes und der Länder, Wiesbaden 2017;;;;;;;;;;;;;;;;
# Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 19. Deutschen Bundestag;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 28.02.2017;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;019;Schleswig-Holstein;;Dithmarschen;Eider;Dellstedt;00;;;25786;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;020;Schleswig-Holstein;;Dithmarschen;Eider;Delve;00;;;25788;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;023;Schleswig-Holstein;;Dithmarschen;Eider;Dörpling;00;;;25794;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;030;Schleswig-Holstein;;Dithmarschen;Eider;Fedderingen;00;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;033;Schleswig-Holstein;;Dithmarschen;Büsum-Wesselburen;Friedrichsgabekoog;00;;;25764;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;035;Schleswig-Holstein;;Dithmarschen;Eider;Gaushorn;00;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;036;Schleswig-Holstein;;Dithmarschen;Eider;Glüsing;00;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;038;Schleswig-Holstein;;Dithmarschen;Eider;Groven;00;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;043;Schleswig-Holstein;;Dithmarschen;Büsum-Wesselburen;Hedwigenkoog;00;;;25761;
002;Nordfriesland – Dithmarschen Nord;01;0;51;0000;044;Schleswig-Holstein;;Dithmarschen;;Heide, Stadt;00;;;25746;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;045;Schleswig-Holstein;;Dithmarschen;Büsum-Wesselburen;Hellschen-Heringsand-Unterschaar;00;;;25764;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;047;Schleswig-Holstein;;Dithmarschen;Eider;Hemme;00;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;048;Schleswig-Holstein;;Dithmarschen;Heider Umland;Hemmingstedt;00;;;25770;
